11_1372	Seniorenwohnhaus, Seniorenheim	2360
11_1373	Arbeitnehmerwohnheim, Schwesternwohnheim	1020
11_1374	Studentenwohnheim, Schülerwohnheim	1020
11_1375	Schullandheim	1220
11_1378	Wohnheim (allgemein)	1220
11_1381	Behelfsmäßiges Wohngebäude	1220
11_1399	Wohngebäude (soweit nicht OS 1311 - 1398)	1000
11_1401	Gebäude für Handel und Dienstleistungen (allgemein)	1150
11_1411	Verwaltungsgebäude, Bürogebäude	1120
11_1421	Kreditinstitutsgebäude, Bankgebäude	1130
11_1431	Versicherungsgebäude	1140
11_1441	Kaufhaus	1160
11_1442	Einkaufszentrum	1170
11_1443	Markthalle	1270
11_1444	Ladengebäude	1150
11_1445	Kiosk	1180
11_1448	Handel (allgemein)	1150
11_1451	Gebäude für Messe, Ausstellung	1270
11_1461	Hotel, Pension	1210
11_1462	Jugendherberge	1220
11_1463	Hütte mit Übernachtungsmöglichkeit	2640
11_1468	Beherbergung (allgemein)	1020
11_1471	Gaststätte	1240
11_1472	Raststätte an Autobahn oder Fernstraße	1240
11_1473	Hütte ohne Übernachtungsmöglichkeit	2640
11_1474	Kantine	1250
11_1478	Restauration (allgemein)	1240
11_1481	Festsaal	1270
11_1482	Kino	1280
11_1483	Kegelhalle, Bowlinghalle	1290
11_1484	Spielkasino	1300
11_1488	Vergnügungsstätte (allgemein)	1260
11_1701	Gebäude für Gewerbe und Industrie (allgemein)	1150
11_1711	Fabrik	1320
11_1721	Werkstatt	1330
11_1731	Tankstelle	1340
11_1741	Kühlhaus	1360
11_1742	Speicher (soweit nicht OS 2725, 3931)	1370
11_1743	Lagerhalle	1370
11_1748	Lagerung (allgemein)	1370
11_1751	Transportgebäude	1550
11_1761	Forschungsgebäude	1380
11_1771	Bergwerk, in Betrieb	1390
11_1772	Bergwerk, außer Betrieb	1390
11_1773	Bergwerk, vorübergehend stillgelegt	1390
11_1774	Gradierwerk, Saline (soweit nicht OS 3912)	1400
11_1778	Grundstoff (allgemein)	1390
11_1781	Betriebliche Sozialeinrichtung (Gebäude)	2340
11_1911	Windmühle	1430
11_1913	Wassermühle, Schöpfwerk	1440
11_2101	Gemischt genutztes Gebäude mit Wohnungen (allgemein)	1000
11_2121	Wohngebäude mit Handel und Dienstleistungen	1050
11_2131	Wohngebäude mit Gewerbe und Industrie	1080
11_2141	Öffentliches Gebäude mit Wohnungen	1030
11_2301	Gebäude für Verkehr (allgemein)	1470
11_2311	Straßenmeisterei	1480
11_2312	Wartehalle	1490
11_2313	Fahrzeughalle	1640
11_2318	Straßenverkehrsgebäude (allgemein)	1470
11_2321	Bahnwärterhaus	1500
11_2322	Lokschuppen, Wagenhalle	1470
11_2323	Stellwerk, Blockstellengebäude	1500
11_2324	Güterbahnhofsgebäude	1470
11_2328	Schienenverkehrsgebäude (allgemein)	1470
11_2332	Flugzeughalle	1540
11_2338	Gebäude für Luftfahrt (allgemein)	1530
11_2341	Werft	1560
11_2342	Dock	1570
11_2343	Schleuse	1580
11_2344	Bootshaus	1590
11_2348	Schiffahrtsgebäude (allgemein)	1550
11_2351	Spannwerk	1600
11_2358	Gebäude für Seilbahn (allgemein)	1600
11_2361	Parkhaus	1610
11_2362	Parkdeck	1620
11_2363	Tiefgarage	1650
11_2364	Sammelgarage	1630
11_2365	Doppelgarage	1630
11_2366	Einzelgarage	1630
11_2367	Überdachter Stellplatz (soweit nicht Folie 082, OS 5315)	1630
11_2368	Gebäude für Parken (allgemein)	1630
11_2501	Gebäude für Versorgung (allgemein)	1660
11_2511	Wasserwerk	1670
11_2512	Pumpwerk	1680
11_2514	Wasserturm	1690
11_2515	Wasserbehälter	1690
11_2518	Gebäude für Wasserversorgung (allgemein)	1790
11_2521	Elektrizitätswerk	1700
11_2522	Umspannwerk	1710
11_2523	Umformer (soweit nicht in Folie 065/066, OS 3447)	1720
11_2528	Gebäude für Elektrizitätsversorgung (allgemein)	1700
11_2541	Sendeturm, Fernmeldeturm	1760
11_2548	Gebäude für Funk- und Fernmeldewesen (allgemein)	1760
11_2551	Öltank	2700
11_2561	Oberirdisches Gebäude an unterirdischen Leitungen	2700
11_2571	Gaswerk	1770
11_2572	Gasometer	1770
11_2581	Heizwerk	1780
11_2591	Pumpwerk (nicht für Wasserversorgung)	1790
11_2601	Gebäude für Entsorgung (allgemein)	1800
11_2611	Kläranlage	1810
11_2612	Bedürfnisanstalt	1830
11_2619	Abwasserbeseitigung (soweit nicht OS 2611-2617)	1820
11_2621	Abfall (Lagergebäude)	1840
11_2622	Abfallverbrennungsanlage	1850
11_2623	Betriebsgebäude einer Abfalldeponie	1860
11_2628	Gebäude für Abfallbeseitigung (allgemein)	1860
11_2701	Gebäude für Land- und Forstwirtschaft (allgemein)	1870
11_2711	Landwirtschaftliches Wohngebäude	1070
11_2721	Scheune	1880
11_2723	Schuppen	1880
11_2724	Stall	1890
11_2725	Futtersilo (soweit nicht OS 1742, 3931)	2700
11_2726	Scheune und Stall	1880
11_2727	Gebäude für Tiergroßhaltung	1890
11_2728	Landwirtschaftliches Betriebsgebäude (allgemein)	1870
11_2731	Landwirtschaftliches Wohn- und Betriebsgebäude	1870
11_2736	Forsthaus	1090
11_2737	Jagdhaus, Jagdhütte	1920
11_2738	Landwirtschaftliches Wohn- und Betriebsgebäude (allgemein)	1870
11_2741	Gewächshaus, Treibhaus	2620
11_2742	Auf Schienen verschiebbares Gewächshaus	2620
11_2748	Gewächshaus (allgemein)	2620
11_2801	Gebäude für Erholung (allgemein)	2540
11_2811	Sporthalle	2560
